userId,movieId,rating,timestamp
99476,104374,3.5,1467897440
107979,2634,4.0,994007728
155372,1614,3.0,1097887531
65225,7153,4.0,1201382275
79161,500,5.0,1488915363
105342,3173,3.0,1053097087
68169,2417,2.0,1182651366
21378,4027,4.0,1090242040
133938,1302,5.0,861734467
151798,2122,3.5,1271805403
148300,61350,3.0,1507097653
116498,2393,5.0,1130123258
148324,1293,3.0,1016911621
87735,928,3.0,1018379240
89910,42730,4.5,1542856578
121214,2352,4.0,947624047
155715,1265,3.5,1166914612
154793,164179,4.0,1522191870
45394,3362,3.5,1237058183
71952,2617,3.0,1086791430
156793,410,4.0,838132457
138596,5952,4.5,1327249611
25474,40732,4.0,1477621920
126001,4901,1.5,1092994816
65274,1945,4.0,939993994
122955,1321,5.0,962652459
8775,2609,4.0,1062477525
122803,25827,4.5,1115775477
84055,111,3.5,1480692067
28436,1275,5.0,949950833
144139,54503,4.0,1428777209
92366,31364,3.5,1177168086
76183,719,3.0,1081266952
27171,2294,2.5,1491620261
98776,81229,4.5,1301608628
117106,2549,1.5,1081202413
47496,737,1.0,879030776
151537,59615,3.0,1438718191
117415,1304,5.0,1023505820
30915,2143,2.0,1010877461
114062,260,4.0,1116711266
55386,965,5.0,1520983221
86723,4039,2.0,981660281
30017,3396,3.0,1233715258
20040,921,4.0,958690751
146376,122904,4.0,1477870288
29664,2170,3.5,1393814163
120986,2986,1.5,1053236122
151734,112556,5.0,1545618074
29347,9010,5.0,1234534447
42785,4498,3.0,1107221443
93784,4270,2.0,1567435555
82983,1302,1.5,1107542732
119067,1748,3.0,965949070
110364,6539,4.0,1180280193
59943,1704,4.5,1188334585
6713,783,4.0,1134595151
35327,2006,3.5,1487163900
94219,1585,3.5,1528899960
111072,1625,4.0,979169409
138575,81591,2.5,1338037341
36671,8861,2.0,1541821936
1535,111759,4.5,1485511197
76766,109487,5.0,1483929398
15315,761,3.0,851343801
57432,1517,2.5,1459731352
135038,44937,4.0,1234650082
57477,2379,1.5,1378235711
61809,48780,3.5,1547989202
121380,7013,4.5,1469943195
49853,3801,3.0,1337174886
5376,3983,4.0,1017731983
1553,1213,5.0,939980463
48672,162,4.0,958272563
82541,8529,3.0,1221491013
111887,8636,3.5,1133439889
129817,1961,4.0,1185772428
48133,5952,4.5,1568570612
140224,4864,2.0,1030662486
97576,122892,2.5,1470186165
38562,3285,4.0,1437198105
142380,4995,4.0,1212108584
84467,5577,3.0,1144472426
75558,47099,3.0,1180812975
67799,7004,2.5,1517170973
95169,1805,4.0,1000735035
157719,152970,4.0,1485454950
139294,3083,5.0,960247308
80809,1485,3.0,867828081
95416,3527,4.0,1458749787
63184,2004,3.0,974609179
108053,8644,4.5,1498783232
152597,783,3.5,1541111057
22771,3977,1.0,1416331693
15553,64957,4.5,1233960965
112225,597,3.0,967070274
102158,32,5.0,833384665
15794,61240,5.0,1350303838
50659,3339,4.0,1105933699
25506,736,2.0,973568668
